Player Stats Analysis
------------------------
Player{name='Aaron Jones', team='United States of America', matches=6, innings=6, notOuts=2, runs=162, average=40.5, strikeRate=135.0}
Player{name='Aasif Sheikh', team='Nepal', matches=3, innings=3, notOuts=0, runs=63, average=21.0, strikeRate=88.73}
Player{name='MM Ali', team='England', matches=8, innings=5, notOuts=0, runs=71, average=14.2, strikeRate=139.21}
Player{name='KIC Asalanka', team='Sri Lanka', matches=3, innings=3, notOuts=0, runs=71, average=23.66, strikeRate=139.21}
Player{name='Ayaan Khan', team='Oman', matches=4, innings=4, notOuts=1, runs=93, average=31.0, strikeRate=97.89}
Player{name='Babar Azam', team='Pakistan', matches=4, innings=4, notOuts=1, runs=122, average=40.66, strikeRate=101.66}
Player{name='JM Bairstow', team='England', matches=8, innings=6, notOuts=2, runs=110, average=27.5, strikeRate=134.14}
Player{name='RD Berrington', team='Scotland', matches=4, innings=3, notOuts=2, runs=102, average=102.0, strikeRate=139.72}
Player{name='HC Brook', team='England', matches=8, innings=4, notOuts=2, runs=145, average=72.5, strikeRate=157.6}
Player{name='JC Buttler', team='England', matches=8, innings=7, notOuts=2, runs=214, average=42.8, strikeRate=158.51}
Player{name='J Charles', team='West Indies', matches=6, innings=6, notOuts=0, runs=140, average=23.33, strikeRate=113.82}
Player{name='RL Chase', team='West Indies', matches=6, innings=3, notOuts=1, runs=94, average=47.0, strikeRate=130.55}
Player{name='PJ Cummins', team='Australia', matches=5, innings=3, notOuts=1, runs=14, average=7.0, strikeRate=82.35}
Player{name='Q de Kock', team='South Africa', matches=9, innings=9, notOuts=0, runs=243, average=27.0, strikeRate=140.46}
Player{name='S Dube', team='India', matches=8, innings=8, notOuts=2, runs=133, average=22.16, strikeRate=114.65}
Player{name='MG Erasmus', team='Namibia', matches=4, innings=4, notOuts=1, runs=102, average=34.0, strikeRate=109.67}
Player{name='AGS Gous', team='United States of America', matches=6, innings=6, notOuts=1, runs=219, average=43.8, strikeRate=151.03}
Player{name='Gulbadin Naib', team='Afghanistan', matches=8, innings=8, notOuts=1, runs=90, average=12.85, strikeRate=104.65}
Player{name='TM Head', team='Australia', matches=7, innings=7, notOuts=1, runs=255, average=42.5, strikeRate=158.38}
Player{name='RR Hendricks', team='South Africa', matches=9, innings=9, notOuts=1, runs=113, average=14.12, strikeRate=87.59}
Player{name='SD Hope', team='West Indies', matches=3, innings=3, notOuts=1, runs=107, average=53.5, strikeRate=187.71}
Player{name='Ibrahim Zadran', team='Afghanistan', matches=8, innings=8, notOuts=0, runs=231, average=28.87, strikeRate=107.44}
Player{name='Iftikhar Ahmed', team='Pakistan', matches=2, innings=2, notOuts=0, runs=23, average=11.5, strikeRate=100.0}
